epoch;accuracy;loss;recall;val_accuracy;val_loss;val_recall
0;0.8265992999076843;0.5944197177886963;0.8322147727012634;0.9256756901741028;0.2015381157398224;0.887499988079071
1;0.9175084233283997;0.34243252873420715;0.9194630980491638;0.9054054021835327;0.244401752948761;0.8500000238418579
2;0.9141414165496826;0.3372315764427185;0.899328887462616;0.9459459185600281;0.18177390098571777;0.9125000238418579
3;0.9276094436645508;0.261954128742218;0.9328858852386475;0.9594594836235046;0.15051184594631195;0.949999988079071
4;0.9309764504432678;0.26308968663215637;0.9328858852386475;0.9594594836235046;0.15335409343242645;0.9375
5;0.9343434572219849;0.19306519627571106;0.9395973086357117;0.9797297120094299;0.15322652459144592;0.9750000238418579
6;0.939393937587738;0.16322720050811768;0.9429529905319214;0.9797297120094299;0.1322329193353653;0.987500011920929
7;0.9545454382896423;0.12330615520477295;0.9530201554298401;0.9527027010917664;0.1529662162065506;0.949999988079071
8;0.9545454382896423;0.13782426714897156;0.9463087320327759;0.9729729890823364;0.13790379464626312;0.9750000238418579
9;0.9579124450683594;0.13881021738052368;0.9664429426193237;0.9729729890823364;0.11853253841400146;0.9750000238418579
